genID,pop,name,geo_grp,lat,lon,PROVNAME,ECS_PROV,SECNAME,ECS_SEC,SUBSECNAME,ECS_SUBSEC,ECS_fac,ECS_fac2,MN_quad
T-KOO008-1_S84R1_001_gbstrim_trimmomatic,88,KOO008,3,47.963741,-94.145002,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-KOO009-1_S118R1_001_gbstrim_trimmomatic,89,KOO009,5,47.856078,-94.34541,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-LAKE001-1_S162R1_001_gbstrim_trimmomatic,90,LAKE001,6,47.01751,-91.66549,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKE004-1_S46R1_001_gbstrim_trimmomatic,91,LAKE005,7,47.647362,-91.15374,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Laurentian Uplands,212Le,8,6,Northeast
T-LAKE004-24-1_S24R1_001_gbstrim_trimmomatic,92,LAKE004-24,6,47.271603,-91.328479,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKE004-25-1_S160R1_001_gbstrim_trimmomatic,93,LAKE004-25,6,47.41397,-91.238418,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKE006-1_S83R1_001_gbstrim_trimmomatic,94,LAKE006,6,47.72964,-91.64527,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Laurentian Uplands,212Le,8,6,Northeast
T-LAKE008-1_S23R1_001_gbstrim_trimmomatic,95,LAKE008,6,47.473492,-91.644929,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Laurentian Uplands,212Le,8,6,Northeast
T-LAKE009-1_S47R1_001_gbstrim_trimmomatic,96,LAKE009,6,47.345533,-91.465985,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKE010-1_S34R1_001_gbstrim_trimmomatic,97,LAKE010,6,47.324888,-91.331275,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKE011-1_S35R1_001_gbstrim_trimmomatic,98,LAKE011,6,47.242265,-91.442178,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKE012-1_S12R1_001_gbstrim_trimmomatic,99,LAKE012,6,47.206813,-91.570029,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKE013-1_S67R1_001_gbstrim_trimmomatic,100,LAKE013,6,47.030995,-91.666634,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKE014-1_S131R1_001_gbstrim_trimmomatic,101,LAKE014,6,47.257666,-91.656406,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-LAKEW001-1_S152R1_001_gbstrim_trimmomatic,102,LAKEW001,2,48.700321,-94.561359,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-LAKEW002-1_S141R1_001_gbstrim_trimmomatic,103,LAKEW002,2,48.712894,-94.651332,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-LAKEW003-1_S120R1_001_gbstrim_trimmomatic,104,LAKEW003,2,48.711754,-94.595854,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-LINC004-1_S37R1_001_gbstrim_trimmomatic,105,LINC004,12,44.261614,-96.278815,Prairie Parkland Province,251,North Central Glaciated Plains,251B,Coteau Moraines,251Bb,25,21,Southwest
T-MAH001-1_S110R1_001_gbstrim_trimmomatic,106,MAH001,4,47.37511,-95.60311,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-MAH002-1_S121R1_001_gbstrim_trimmomatic,107,MAH002,4,47.17752,-95.71407,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Hardwood Hills,222Ma,17,15,Northwest
T-MARS001-1_S143R1_001_gbstrim_trimmomatic,108,MARS001,1,48.2658,-95.93292,Tallgrass Aspen Parklands,223,"Lake Agassiz, Aspen Parklands",223N,Aspen Parklands,223Na,22,18,Northwest
T-MOR003-1_S154R1_001_gbstrim_trimmomatic,109,MOR003,8,46.06985,-93.892952,Laurentian Mixed Forest Province,212,Western Superior Uplands,212K,Mille Lacs Uplands,212Kb,3,1,Northeast
T-MOR004-1_S111R1_001_gbstrim_trimmomatic,110,MOR004,8,46.042389,-94.442723,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Hardwood Hills,222Ma,17,15,Northwest
T-MUR002-1_S134R1_001_gbstrim_trimmomatic,111,MUR002,12,43.99247,-95.98961,Prairie Parkland Province,251,North Central Glaciated Plains,251B,Coteau Moraines,251Bb,25,21,Southwest
T-PEN001-1_S116R1_001_gbstrim_trimmomatic,112,PEN001,1,47.99295,-96.28928,Tallgrass Aspen Parklands,223,"Lake Agassiz, Aspen Parklands",223N,Aspen Parklands,223Na,22,18,Northwest
T-PEN002-1_S139R1_001_gbstrim_trimmomatic,113,PEN002,1,48.020108,-95.700196,Tallgrass Aspen Parklands,223,"Lake Agassiz, Aspen Parklands",223N,Aspen Parklands,223Na,22,18,Northwest
T-PINE005-1_S158R1_001_gbstrim_trimmomatic,114,PINE005,9,46.061767,-92.365779,Laurentian Mixed Forest Province,212,Western Superior Uplands,212K,Mille Lacs Uplands,212Kb,3,1,Northeast
T-PINE006-1_S137R1_001_gbstrim_trimmomatic,115,PINE006,9,46.090176,-92.467201,Laurentian Mixed Forest Province,212,Western Superior Uplands,212K,Mille Lacs Uplands,212Kb,3,1,Northeast
T-PINE007-1_S138R1_001_gbstrim_trimmomatic,116,PINE007,9,46.140408,-92.803787,Laurentian Mixed Forest Province,212,Western Superior Uplands,212K,Mille Lacs Uplands,212Kb,3,1,Northeast
T-POLK001-1_S13R1_001_gbstrim_trimmomatic,117,POLK001,1,47.778344,-96.630743,Prairie Parkland Province,251,Red River Valley,251A,Red River Prairie,251Aa,23,19,Northwest
T-POLK003-1_S142R1_001_gbstrim_trimmomatic,118,POLK003,1,47.98233,-96.48286,Tallgrass Aspen Parklands,223,"Lake Agassiz, Aspen Parklands",223N,Aspen Parklands,223Na,22,18,Northwest
T-RAM002-1_S130R1_001_gbstrim_trimmomatic,119,RAM002,11,45.07383,-93.01997,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,St. Paul-Baldwin Plains,222Md,20,17,Southeast
T-REDL001-1_S174R1_001_gbstrim_trimmomatic,120,REDL001,1,47.844693,-96.004478,Tallgrass Aspen Parklands,223,"Lake Agassiz, Aspen Parklands",223N,Aspen Parklands,223Na,22,18,Northwest
T-ROS001-1_S1R1_001_gbstrim_trimmomatic,121,ROS001,2,48.95311,-95.59972,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-ROS003-1_S98R1_001_gbstrim_trimmomatic,122,ROS003,2,48.716192,-94.73627,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-ROS004-1_S132R1_001_gbstrim_trimmomatic,123,ROS004,2,48.7125,-95.4548,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-ROS005-1_S123R1_001_gbstrim_trimmomatic,124,ROS005,2,48.66328,-95.34247,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-ROS006-1_S165R1_001_gbstrim_trimmomatic,125,ROS006,2,48.697889,-94.952032,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-SHER003-1_S167R1_001_gbstrim_trimmomatic,126,SHER003,11,45.41111,-93.68597,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Anoka Sand Plain,222Mc,19,16,Southeast
T-STEAR004-1_S144R1_001_gbstrim_trimmomatic,127,STEAR004,8,46.0719841,-94.4831397,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Hardwood Hills,222Ma,17,15,Northwest
T-STEV003-1_S135R1_001_gbstrim_trimmomatic,128,STEV003,10,45.471203,-96.12992,Prairie Parkland Province,251,North Central Glaciated Plains,251B,Minnesota River Prairie,251Ba,24,20,Southwest
T-STL001-1_S122R1_001_gbstrim_trimmomatic,129,STL001,6,46.715343,-92.204834,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL002-1-1_S176R1_001_gbstrim_trimmomatic,130,STL002-1,6,46.71821,-92.03666,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL002-1-2_S145R1_001_gbstrim_trimmomatic,131,STL002-2,6,46.71821,-92.03666,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL004-1_S113R1_001_gbstrim_trimmomatic,132,STL004,6,46.7743,-92.14129,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL005-1_S168R1_001_gbstrim_trimmomatic,133,STL005,6,46.81632,-92.10033,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL006-1_S115R1_001_gbstrim_trimmomatic,134,STL006,6,47.74023,-91.48627,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Laurentian Uplands,212Le,8,6,Northeast
T-STL007-1_S136R1_001_gbstrim_trimmomatic,135,STL007,6,46.83622,-92.01415,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL008-1_S179R1_001_gbstrim_trimmomatic,136,STL008,6,46.88544,-91.91184,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL009-1_S149R1_001_gbstrim_trimmomatic,137,STL009,6,47.806975,-91.88729,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL010-1_S104R1_001_gbstrim_trimmomatic,138,STL010,6,47.81647,-92.23728,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL012-1_S170R1_001_gbstrim_trimmomatic,139,STL012,6,47.94953,-92.829346,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-STL013-1_S128R1_001_gbstrim_trimmomatic,140,STL013,5,46.927837,-92.91826,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL014-1_S150R1_001_gbstrim_trimmomatic,141,STL014,6,47.050927,-92.950296,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL015-1_S73R1_001_gbstrim_trimmomatic,142,STL015,6,47.26766,-92.023061,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Toimi Uplands,212Ld,7,5,Northeast
T-STL016-1_S119R1_001_gbstrim_trimmomatic,143,STL016,6,47.406447,-92.962856,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL017-1_S163R1_001_gbstrim_trimmomatic,144,STL017,6,47.434898,-92.920803,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL018-1_S97R1_001_gbstrim_trimmomatic,145,STL018,5,47.479761,-92.87095,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL019-1_S175R1_001_gbstrim_trimmomatic,146,STL019,6,47.674137,-92.865746,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL020-1_S166R1_001_gbstrim_trimmomatic,147,STL020,6,47.777065,-92.569145,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL021-1_S112R1_001_gbstrim_trimmomatic,148,SLT021,6,48.049583,-92.831949,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL022-1_S106R1_001_gbstrim_trimmomatic,149,STL022,6,48.109489,-92.840096,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL023-1_S133R1_001_gbstrim_trimmomatic,150,STL023,6,47.861478,-92.718491,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-STL024-1_S156R1_001_gbstrim_trimmomatic,151,STL024,6,47.769284,-92.653847,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL025-1_S124R1_001_gbstrim_trimmomatic,152,STL025,6,47.642631,-92.560451,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL026-1_S178R1_001_gbstrim_trimmomatic,153,STL026,6,47.592552,-92.56127,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL027-1_S103R1_001_gbstrim_trimmomatic,154,STL027,6,47.293862,-92.476902,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL028-1_S147R1_001_gbstrim_trimmomatic,155,STL028,6,47.086556,-92.4741,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL029-1_S126R1_001_gbstrim_trimmomatic,156,STL029,6,46.910153,-92.387468,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL030-1_S159R1_001_gbstrim_trimmomatic,157,STL030,6,46.972205,-92.218033,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL031-1_S180R1_001_gbstrim_trimmomatic,158,STL031,6,47.393461,-92.810554,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL032-1_S171R1_001_gbstrim_trimmomatic,159,STL032,6,47.458969,-92.389221,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL033-1_S105R1_001_gbstrim_trimmomatic,160,STL033,6,47.625403,-92.243957,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL034-1_S117R1_001_gbstrim_trimmomatic,161,STL034,6,47.800327,-92.282662,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL035-1_S96R1_001_gbstrim_trimmomatic,162,STL035,6,47.902067,-91.876541,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL036-1_S108R1_001_gbstrim_trimmomatic,163,STL036,6,47.411877,-91.976743,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Toimi Uplands,212Ld,7,5,Northeast
T-STL037-1_S109R1_001_gbstrim_trimmomatic,164,STL037,6,47.688814,-91.64045,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Laurentian Uplands,212Le,8,6,Northeast
T-STL038-1_S155R1_001_gbstrim_trimmomatic,165,STL038,6,47.6056,-91.645588,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Laurentian Uplands,212Le,8,6,Northeast
T-STL039-1_S164R1_001_gbstrim_trimmomatic,166,STL039,6,47.371245,-92.036705,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Toimi Uplands,212Ld,7,5,Northeast
T-STL040-1_S177R1_001_gbstrim_trimmomatic,167,STL040,6,47.371633,-92.309596,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-SWI004-1_S100R1_001_gbstrim_trimmomatic,168,SWI004,10,45.33438,-95.96308,Prairie Parkland Province,251,North Central Glaciated Plains,251B,Minnesota River Prairie,251Ba,24,20,Southwest
T-SWI005-1_S99R1_001_gbstrim_trimmomatic,169,SWI005,10,45.35654,-95.33685,Prairie Parkland Province,251,North Central Glaciated Plains,251B,Minnesota River Prairie,251Ba,24,20,Southwest
T-WAB004-1_S125R1_001_gbstrim_trimmomatic,170,WAB004,13,44.38218,-92.03775,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,The Blufflands,222Lc,15,13,Southeast
T-WAB005-1_S169R1_001_gbstrim_trimmomatic,171,WAB005,13,44.35971,-92.366881,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,Rochester Plateau,222Lf,16,14,Southeast
T-WAB006-1_S148R1_001_gbstrim_trimmomatic,172,WAB006,13,44.351788,-92.375605,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,Rochester Plateau,222Lf,16,14,Southeast
T-WASH004-1_S157R1_001_gbstrim_trimmomatic,173,WASH004,11,45.10084,-92.9845,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,St. Paul-Baldwin Plains,222Md,20,17,Southeast
T-WASH005-1_S102R1_001_gbstrim_trimmomatic,174,WASH005,11,45.23754,-92.98986,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,St. Paul-Baldwin Plains,222Md,20,17,Southeast
T-WIN017-1_S127R1_001_gbstrim_trimmomatic,175,WIN017,13,43.938074,-91.861351,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,The Blufflands,222Lc,15,13,Southeast
T-WIN020-1_S49R1_001_gbstrim_trimmomatic,176,WIN020,13,44.01435,-91.61582,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,The Blufflands,222Lc,15,13,Southeast
T-WIS020-1_S61R1_001_gbstrim_trimmomatic,177,WIS020,11,45.31719,-92.6915,<Null>,<Null>,<Null>,WIS,<Null>,WIS,27,22,Southeast
T-WIS021-1_S181R1_001_gbstrim_trimmomatic,178,WIS021,11,45.186271,-92.38528,<Null>,<Null>,<Null>,WIS,<Null>,WIS,27,22,Southeast